id,prompt,source,category
4761,What are some uses for a garden bucket with a hole in it?,dolly,brainstorming
4762,What is it like to own a dog that sheds everywhere?,dolly,creative_writing
4763,"Given this paragraph about the JW Marriott building in Downtown Houston, what was the framing made of and how tall was it?",dolly,closed_qa
4764,"Classify each of these vehicles, based on whether they are two wheel vehicles, or four wheels vehicles: car, Gyrocar, van, motorbike, scooter, all-terrain vehicle (ATV), bicycle and Segway.",dolly,classification
4765,Suggest some TV shows I should watch in a few different genres.,dolly,brainstorming
4766,When is the best time to visit San Francisco?,dolly,general_qa
4767,What phone carrier company did Sprint merge with?,dolly,open_qa
4768,"Which of the following are typical ingredients that go into a banana split sundae: oranges, bananas, ice cream, banana bread, maraschino cherries, pickles, whipped cream, chopped nuts, chopped apples, moon shoes",dolly,classification
4769,Which of these are computer video games: Path of Exile; Playstation; Xbox; Nintendo; Starcraft; Civilization,dolly,classification
4770,Give me a list of Premier League winners in the last 5 years with corresponding points.,dolly,brainstorming
4771,"Did Billy Corgan really play all of the instruments on Smashing Pumpkin's 1993 album ""Siamese Dream""?",dolly,closed_qa
4772,Why didn’t people like the end of Game of Thrones?,dolly,general_qa
4773,Kindly provide some details regarding the plot of science fiction 'A Borrowed Man' from the given passage.,dolly,summarization
4774,"Which of the following US States border Canada and which do not: Montana, Wyoming, Michigan, New York, Maine, Idaho, and Minnesota?",dolly,classification
4775,Who is the greatest male tennis player of all time?,dolly,general_qa
4776,How do you subtract two numbers?,dolly,general_qa
4777,Who is the greatest musical theatre composer of all time?,dolly,general_qa
4778,Explain nuclear fission in the style of Jerry Seinfeld,dolly,general_qa
4779,Name at least four different types of freshwater waterways,dolly,brainstorming
4780,How many feet are in 1 mile?,dolly,open_qa
4781,How do you make a peanut butter and jelly sandwich?,dolly,general_qa
4782,What flower does the Netherlands produce most?,dolly,open_qa
4783,What is the difference between the right and left side of the brain?,dolly,summarization
4784,"Identify which animal is domesticated or wild: Western honey bee, European honey bee, Chinese honey bee, Japanese honey bee, Indian honey bee",dolly,classification
4785,Classify each of the following as either a classical or jazz artist,dolly,classification
4786,"Classify each of the following as a professional golfer or professional football player: Jon Rahm, Patrick Mahomes, Tom Brady, Max Homa, Scottie Scheffler, Tiger Woods, Rory McIlroy, Josh Allen, Jacoby Brissett.",dolly,classification
4787,List the movies of Ranjit Mallick.,dolly,information_extraction
4788,In India there are 14 Navratna  companies while Mini Navratnas are,dolly,open_qa
4789,What happens during Holy week in Mexico?,dolly,summarization
4790,Why should I move to New York City?,dolly,open_qa
4791,What are some good body weight exercises for the lower body?,dolly,brainstorming
4792,Who is George Lucas?,dolly,information_extraction
4793,What are the components of a passive crossover?,dolly,information_extraction
4794,What characteristics of the blue oak enable it to survive long periods of drought?,dolly,information_extraction
4795,What is SAP?,dolly,general_qa
4796,What is the capital of Colorado?,dolly,open_qa
4797,List the members of the Ivy in reverse alphabetical order.,dolly,general_qa
4798,Where is Dutch spoken?,dolly,information_extraction
4799,"Which of these animals is not a bear: brown bear, black bear, polar bear, koala bear, panda bear.",dolly,general_qa
4800,What is the difference between a compact and economy-sized car?,dolly,open_qa
4801,Who is Lord Voldemort?,dolly,general_qa
4802,"What is the significance of Glasgow, Georgia?",dolly,information_extraction
4803,"What are the 5 largest cities in the world by population? In this format ""Country|Capital|Population"" and include the header",dolly,brainstorming
4804,Which are most valuable corporate brands in the world,dolly,closed_qa
4805,"I am planning a trip to Super Mario world and want to know which of the following characters are part of the Super Mario Bros franchise and which are from other games. Princess Peach, Luigi, Bowser, Link, Inkling Boy, Captain Falcon, Koopa Troopa, and Kirby.",dolly,classification
4806,Please provide a bulleted list of the movies Tessa Thompson performed in from this passage.,dolly,summarization
4807,Name the Pandavas.,dolly,information_extraction
4808,Would my landlord allow me to have my dog living at the house?,dolly,creative_writing
4809,List top 5 people with most gold medals,dolly,brainstorming
4810,What is the project management approach that have a serious of distinct steps?,dolly,information_extraction
4811,Give me a list of 5 first date ideas,dolly,brainstorming
4812,"From the passage provided, extract which month is the coolest in Chennai",dolly,information_extraction
4813,Does Bolivia have a wine scene?,dolly,general_qa
4814,What is the tallest building in Chicago?,dolly,open_qa
4815,Name China's greatest events happened when Jiang was in charge,dolly,closed_qa
4816,Is there a secure desktop operating system I can use today?,dolly,summarization
4817,What is the Make Something Edmonton Initiative?,dolly,summarization
4818,List some steps I'll need to take in order to buy a car,dolly,creative_writing
4819,Which is a species of fish? Bombay duck or Bombay Sapphire,dolly,classification
4820,Write some information in points on Kelvyn Park High School from the given passage.,dolly,summarization
4821,Can I provide commercial software or services based on Spark?,dolly,general_qa
4822,Describe the benefits of riding the bus to work instead of driving a car.,dolly,creative_writing
4823,"Given this summary of The Eye of Heaven, what kind of ship did they find in the Arctic?",dolly,closed_qa
4824,"Tell me whether these are Mandalorians or Jedi: Yoda, Luke Skywalker, Bobba Fett, Din Djarin",dolly,classification
4825,How to win and make friends?,dolly,general_qa
4826,Give me a list of the best golf courses in America,dolly,brainstorming
4827,"Tell me which of these are brands of soap: Dove, Colgate, Palmolive, Ivory, Pearl Milling Co, Sofsoap, Dawn, Ethan",dolly,classification
4828,What game was the animated series Tank Knights Fortress based on?,dolly,closed_qa
4829,"Please tell me if the following cities are in Germany, Austria or Switzerland: Munich, Vienna, Zurich, Dortmund, Lucerne, Bern, Stuttgart, Klagenfurt, Salzburg, Bremen, Geneva, Innsbruck",dolly,classification
4830,"Identify which instrument is string or percussion: Chenda, Suroz",dolly,classification
4831,Why do people blink?,dolly,general_qa
4832,What is the difference between retinol and tretinoin?,dolly,open_qa
4833,Which part of the world Egypt is located?,dolly,general_qa
4834,What are some pro tips when cold calling?,dolly,general_qa
4835,What is the successor liability and can you give me some practical examples about it,dolly,open_qa
4836,Who is the greatest NFL running back of all time?,dolly,general_qa
4837,When does daylight savings start and end in Sydney?,dolly,general_qa
4838,What are Flos,dolly,open_qa
4839,From the passage find parts of plant which can be used as scion. Display the results in comma separated format.,dolly,information_extraction
4840,What are some string instruments I could learn so that I can play in a group?,dolly,brainstorming
4841,What would Bruce lee do if he is alive?,dolly,open_qa
4842,Write a paragraph on the difficulties of seizure detection among epilepsy patients.,dolly,creative_writing
4843,What are main vegetables in V8 juice?,dolly,closed_qa
4844,Name some popular American beer brands.,dolly,open_qa
4845,What are some sought-after boutique electric guitar builders?,dolly,brainstorming
4846,Give me a list of the Western States in the United States of America.,dolly,brainstorming
4847,"How many press conferences does Daniel Keane give in the musical ""Fermat's Last Tango""?",dolly,information_extraction
4848,What does it mean if a database is ACID compliant?,dolly,summarization
4849,What are the major innovations and scientific discoveries from UC Berkeley?,dolly,closed_qa
4850,Should I buy a gravel bike or a down country mountain bike?,dolly,general_qa
4851,How many times did Barton switch parties?,dolly,information_extraction
4852,Why is breaking up so hard to do?,dolly,general_qa
4853,Name the most famous detective books in the history,dolly,open_qa
4854,What are microservices?,dolly,open_qa
4855,What is the Fallout game?,dolly,summarization
4856,List the churches serving Mayfield Park of East Bristol in a comma separated manner.,dolly,information_extraction
4857,"Based on the given text, what is the population growth rate of Afghanistan since 1979?",dolly,summarization
4858,What is the holiday of Passover about?,dolly,open_qa
4859,Please explain why adding more indexes to a relational database is not always beneficial for speeding up workloads.,dolly,general_qa
4860,"Write a story about a cat named Rory and the adventures he gets up to while his owner, Maria, is gone at work. Write the story in the form of an hourly journal from 7am to 7 pm written by Rory, and convey that Rory loves to sleep while Maria is gone.",dolly,creative_writing
4861,How many episodes of the first season of Game of Thrones did Alan Taylor direct?,dolly,open_qa
4862,What is the difference between a corporate venture function and institutional venture firm?,dolly,general_qa
4863,"Tell me what I should do in London, England.",dolly,brainstorming
4864,What does the idiom burning your bridges mean?,dolly,general_qa
4865,Please give me a summary of the meaning of a derivative.,dolly,summarization
4866,Give me some examples of Cockney Rhyming Slang and help me understand how it works.,dolly,open_qa
4867,"Which of the following are nuts: pecan, hazelnut, butternut squash, walnut, peanut, corn nut, macadamia nut.",dolly,classification
4868,Is streaming better than cable?,dolly,general_qa
4869,What is AWS EMR?,dolly,open_qa
4870,What is the difference between a simile and a metaphor?,dolly,open_qa
4871,"What are the four primary states of matter?  Answer in bullet point list, and capitalize each words",dolly,open_qa
4872,"If I have a dollar, two nickels and a quarter, how much money in total do I have. Please respond with numbers and the dollar sign only, no words.",dolly,open_qa
4873,Please summarize “The Decision” that Lebron James has made based on the following paragraph.,dolly,summarization
4874,Why do muscle twitch (or twinge)?,dolly,general_qa
4875,Why do people like to workout?,dolly,general_qa
4876,What is sake and how is it made?,dolly,general_qa
4877,"Tell me whether these are mammals or reptiles: dog, crocodile, cat, lizard, snake, tiger, lion, turtle.",dolly,classification
4878,"Which of the following cities are the capital of a province of the Netherlands: Emmen, Almere, Assen, Den Helder, Enschede, Terneuzen, Lelystad, Leeuwarden, Arnhem, Groningen, Maastricht, 's-Hertogenbosch, Haarlem, Zwolle, Bussum, Alkmaar, Hilversum, The Hague, Utrecht, Amsterdam, Rotterdam, Middelburg, Amstelveen, Terneuzen",dolly,classification
4879,Who is Shigeru,dolly,open_qa
4880,"Which is a bird or fish: Red-backed shrike, Red salmon",dolly,classification
4881,Will you say sorry to your kids?,dolly,creative_writing
4882,"Classify each of the following objects as either heavy or lightweight: bubble, aircraft, bear, mouse, bus, raisin, strawberry, popcorn, elephant, piano, plastic cup, train, butterfly, whale, refrigerator, feather, pencil, ship, tree, flower.",dolly,classification
4883,How long was the Titanic?,dolly,general_qa
4884,Five reasons to watch good doctor,dolly,brainstorming
4885,What is Paris-Brest named after?,dolly,summarization
4886,"Given a reference text that provides the geographical description of continent Asia, how many Asian countries have a part of their land in Europe as well?",dolly,closed_qa
4887,"I'm sorting my fresh food into two groups. Which are fruits and which are vegetables? Apple, spinach, banana broccoli, potato, plum, pear, avocado and peach.",dolly,classification
4888,What is Aerial Yoga,dolly,summarization
4889,List 10 best switch games of all time.,dolly,general_qa
4890,How did Kdramas become so popular?,dolly,general_qa
4891,Tell me about the Schoenbrunn Palace,dolly,summarization
4892,"With the rise of large language models, ChatGPT has changed the way many people work, and AI is getting more and more powerful. Will it eventually replace humans?",dolly,creative_writing
4893,Please give me a short bulleted list of the principal fields of engineering,dolly,summarization
4894,Please give me a list of popular street foods available in South Korea,dolly,summarization
4895,Why do people like sports?,dolly,general_qa
4896,From the passage note down the various themes on which Harry Potter series is based upon. List the results in comma separated format.,dolly,information_extraction
4897,"In the series A Song of Ice and Fire, who is the founder of House Hightower?",dolly,open_qa
4898,What is Genetics?,dolly,classification
4899,What are the words of House Frey?,dolly,open_qa
4900,"It really depends on where you will ride the bicycle, how often you will use it, if the bicycle be used for competing or pleasure and your body type. One more thing to consider will be the budget you want to invest for the bicycle.",dolly,general_qa
4901,"Classify each of the following as ""Can Fly"" or ""Can't Fly"": Kite, bird, dog, plane, car, scooter",dolly,classification
4902,"Tell me if these are brands or companies: Kleenex, Procter & Gamble, Cadillac, Doritos, Chase?",dolly,classification
4903,"Given this paragraph about composer Arvo Pärt, tell me where and when he studied composition and with which teacher.",dolly,closed_qa
4904,What are the words of House Royce?,dolly,open_qa
4905,Who is Mother Teresa?,dolly,general_qa
4906,"Classify each of the following animal as a carnivore, omnivore or herbivore: tiger, bear, giraffe, wolverine, elephant, monkey",dolly,classification
4907,Give me a list of amazing noise cancelling headphones in 2023,dolly,brainstorming
4908,"Categorize each of the vehicles as a car, truck, or van: Tesla Model 3, Ford F150, Chevy Silverado, Toyota Sienna, Honda Odyssey, Toyota Tacoma, Dodge Dart",dolly,classification
4909,Who is Rihanna?,dolly,closed_qa
4910,What is the Genomie Aggregation Databaise (genomAD)?,dolly,open_qa
4911,Where was the first publicly funded civil park?,dolly,open_qa
4912,"From the text, provide me with the number of medals Michael Phelps won in the 2016 olympics. Separate them in bullet points by number of gold, silver and bronze medals won.",dolly,information_extraction
4913,The girl was wearing a red dress whilst her friend was wearing a white dress. What colour dress was the girl wearing?,dolly,general_qa
4914,"Identify which animal is domesticated or wild: Horse, Red deer",dolly,classification
4915,Is it important to have friends?,dolly,general_qa
4916,Why are the Green Bay Packers called the Packers?,dolly,information_extraction
4917,How should I pick a name for my baby?,dolly,general_qa
4918,How do I find the best interior decorator and best price?,dolly,open_qa
4919,"Can you use logistic regression and linear regression methods interchangeably? If yes, in what scenarios?",dolly,brainstorming
4920,"Identify which instrument is string or woodwind: Zither, Khlui",dolly,classification
4921,What’s the official language in Brazil?,dolly,general_qa
4922,Please describe what combat was like in World War I,dolly,summarization
4923,What are some common types of snake plants?,dolly,brainstorming
4924,"Identify which animal species is alive or extinct: Thylacosmilus, Swift Fox",dolly,classification
4925,What are the main reasons for the price of a good increasing or decreasing in a capitalist society.,dolly,open_qa
4926,What does BMW stand for?,dolly,open_qa
4927,Which is a species of fish? Velvetfish or Cotton,dolly,classification
4928,Give me a few different ways to reduce my household electricity bill.,dolly,brainstorming
4929,What were Atari gaming consoles?,dolly,brainstorming
4930,"Classify the names of the Presidents based on their country.
Droupadi Murmu, Ram Nath Kovind, A. P. J. Abdul Kalam, Ranil Wickremesinghe",dolly,classification
4931,"Classify which colors are shades or red or purple: Violet, burgundy, lavender, brick, lilac, plum, rust, orchid, maroon, ruby, cardinal, fire-engine",dolly,classification
4932,Give me a good french wine with cheese,dolly,open_qa
4933,What are the primary causes of inflation?,dolly,open_qa
4934,Who was the Italian dictator responsible for introducing fascism to Italy and joining the Axis in World War 2?,dolly,open_qa
4935,"From given text, Please jot down some points about Richard D. Young",dolly,summarization
4936,Provide few tips and techniques for Partner Ecosystem Enablement,dolly,brainstorming
4937,Does Irina Korzhanenko still have her gold medal?,dolly,closed_qa
4938,"Based on the paragraph below, what are some key elements to consider in designing an OLTP system?",dolly,summarization
4939,Who is the best soccer player of all time?,dolly,classification
4940,How to plan a Lakehouse migration journey?,dolly,open_qa
4941,What are some games you can play in the middle of nature and a bunch of people?,dolly,brainstorming
4942,"Given the current banking crisis we are experiencing, is this a redux of the 2008 crisis?",dolly,general_qa
4943,"Classify the following as a 'triangle' or 'not a triangle' - equilateral, isosceles, right angled, circle, sphere, scalene, rectangle, square, trapezium.",dolly,classification
4944,Hindi Diwas is observed every year on which date?,dolly,open_qa
4945,List the Pixar movies that were nominated for Academy Awards but did not win.,dolly,information_extraction
4946,What are the best superhero movies of 2022 ?,dolly,brainstorming
4947,Marburg Virus Disease belongs to the same family as,dolly,open_qa
4948,Please extract the characteristics of a desert from this passage and list in bullet format.,dolly,information_extraction
4949,"From the following list, categorize the what country these dishes originate from: Tamales, Butter Chicken, Mac and Cheese, Pizza, Pozole, Nicoise Salad, Ramen, Trifle, Empanadas, Ceviche, Feijoda, Burrito, Jollaf Rice, Tagine, Couscous",dolly,classification
4950,Who was chairman of the board of directors of Tesla as of March 2004?,dolly,closed_qa
4951,"From the text below about the history of peanut butter, where can the first reference be traced from?",dolly,closed_qa
4952,What is vanlife?,dolly,general_qa
4953,Which golf tournaments are considered majors in the PGA?,dolly,open_qa
4954,How many slices are in a large pizza?,dolly,general_qa
4955,"Given this paragraph about magnesium, what is the element symbol of magnesium?",dolly,closed_qa
4956,What is the best watch in the world ?,dolly,creative_writing
4957,Which US astronauts that landed on the moon were Scouts?,dolly,open_qa
4958,Which is a species of fish? Grass carp or Grass,dolly,classification
4959,What are crawfish and how do you eat them?,dolly,general_qa
4960,Why is Football a popular spectator sport?,dolly,general_qa
4961,What is K-Pop?,dolly,summarization
4962,Summarize Brown vs. Board of Education of Topeka in one sentence.,dolly,summarization
4963,What is a zerbert?,dolly,general_qa
4964,Tell me about the Qingdao Qianwan Container Terminal,dolly,summarization
4965,"Given the reference text, what is log rotation in information technology?",dolly,closed_qa
4966,"In the series A Song of Ice and Fire, who is the founder of House Teague?",dolly,open_qa
4967,Is there a fictional book and tv show by the name Shantaram?,dolly,classification
4968,Who was the first president of the United States?,dolly,open_qa
4969,Why do people like to drink tea?,dolly,general_qa
4970,Who is Paul McIver,dolly,open_qa
4971,How is life like living on the pacific north west?,dolly,general_qa
4972,What is the best way to feel peaceful in your mind?,dolly,open_qa
4973,"Classify the following numbers into natural, rational, irrational, integer, and complex: 

1, 0, -10, pi, e, root(25), I*pi, root(2), 6/7, 5/6",dolly,classification
4974,Who was the first actor to play the Joker on the Batman television series?,dolly,information_extraction
4975,"Identify the bird from the list: Bar-tailed godwit, Leopard, Shark",dolly,classification
4976,What is Merlot?,dolly,closed_qa
4977,When did Arsenal first reach the first division? How many league titles did they win between 1989 and 2005 and how many FA cups? How many trophies in total for that period?,dolly,closed_qa
4978,Summarise why lightweight rowing event was at risk in Olympics,dolly,summarization
4979,What is a digital twin?,dolly,general_qa
4980,Name some TV shows that American actor David Duchovny has been in.,dolly,open_qa
4981,Why is Kanye sometimes regarded the GOAT (Greatest of All Time)?,dolly,general_qa
4982,Give me a list of some different summer holidays that occur in the United States,dolly,brainstorming
4983,"Give me some ideas of what to cook for dinner, I am vegetarian and I have picky children",dolly,brainstorming
4984,Write me a thank you note for my high-school teacher,dolly,creative_writing
4985,In what year was the Oakland Ski Club founded?,dolly,open_qa
4986,Why breakfast is so important for the day,dolly,brainstorming
4987,Extract from the text the films that the actor Paul Harvey participated in. Separate them with a comma.,dolly,information_extraction
4988,Why capri is so famous,dolly,brainstorming
4989,Give me a list of ten Mayan ruins to visit in Central America.,dolly,brainstorming
4990,"Choose the word which is different from the rest: Cream, Oil, Butter, Curd, Cheese.",dolly,classification
4991,Is Pluto a planet ?,dolly,open_qa
4992,What are the names of the main islands of Hawaiʻi in alphabetical order?,dolly,information_extraction
4993,"Given this reference text about the career of Charles Henry Bromedge Caldwell, name the ships he commanded after his promotion to the rank of Commander.",dolly,closed_qa
4994,"What do these seven things have to do with each other: Lake, Ocean, River, Avalanche?",dolly,classification
4995,What type of terrain is a gravel bike used for?,dolly,closed_qa
4996,What is Kefir?,dolly,general_qa
4997,"Given a reference text about Our Common Future, what was the purpose of the report?",dolly,closed_qa
4998,What is the biggest passenger airliner?,dolly,closed_qa
4999,Who are the greatest hockey players of all time?,dolly,brainstorming
5000,"Given this paragraph about Michel Warschawski, tell me the two organizations that Warschawski led during his life.",dolly,closed_qa
5001,"Categorize  the below names into fishes and insects.
salmon, ant, bee, rohu, pike, wasp, beetle, carp, butterfly, cod, moth",dolly,classification
5002,"Classify the below places based on the country they belong to.

New Jersey, New York, Kolkata, New Delhi, Ohio, Oklahoma",dolly,classification
5003,Based on this paragraph about Brazilian jiu-jitsu. which martial arts influenced Jiu-Jitsu.,dolly,closed_qa
5004,What is a hardwired smoke detector?,dolly,open_qa
5005,"how many strings guitar have?
how guitar projects sound?
what are different types of guitar?",dolly,closed_qa
5006,"Classify each of the following as a city, state, or country: Dallas, Bozeman, Kentucky, Ohio, USA, Canada",dolly,classification
5007,What is the difference between affect and effect?,dolly,general_qa
5008,Which author created Dick Tracy,dolly,open_qa
5009,"From the passage provided, extract the net retention rate using the format: NRR {x%}

Product revenue of $555.3 million in the fourth quarter, representing 54% year-over-year growth
Remaining performance obligations of $3.7 billion, representing 38% year-over-year growth
7,828 total customers
Net revenue retention rate of 158%
330 customers with trailing 12-month product revenue greater than $1 million
Authorized a $2.0 billion stock repurchase program",dolly,general_qa
5010,How many episodes is Lost the TV series?,dolly,summarization
5011,Which author wrote the ‘Winnie-the-Pooh’ books?,dolly,open_qa
5012,In Casablanca what is the name of the nightclub,dolly,open_qa
5013,What type of movie is Nope?,dolly,classification
5014,"What are the five best sports cars to buy right now, under $200K USD?",dolly,brainstorming
5015,What is a CRM?,dolly,creative_writing
5016,Create a dialogue between two characters discussing the impact of social media on their lives. Your dialogue should explore both the positive and negative effects of social media on society.,dolly,creative_writing
5017,Give me a list of important things to take on an international trip,dolly,general_qa
5018,"Given this reference paragrah, who directed ""The Man in the Saddle?""",dolly,closed_qa
5019,What is an Exchange Traded Fund (ETF),dolly,open_qa
5020,Where is the economic independence museum located,dolly,summarization
5021,What is the main source of electricity generation in France?,dolly,information_extraction
5022,"Classify the following into animals and plants: dog, cat, tiger, roses, tulips, pencil, sofa",dolly,general_qa
5023,Provide me with a list of boy names that are currently popular.,dolly,brainstorming
5024,Name three creative ways to utilize plastic wrap other than sealing food to keep it fresh.,dolly,brainstorming
5025,What is the largest city in the world?,dolly,closed_qa
5026,Please write a travel plan to Los Angeles.,dolly,creative_writing
5027,From which countries is  the aurora borealis visible?,dolly,information_extraction
5028,"Classify the below devices based on the brand which manufactures them.
iPhone, iPad, MacBook, Pixel watch, Galaxy phone",dolly,classification
5029,What season is the best season to visit Chicago?,dolly,creative_writing
5030,"Given the reference text below, what is Air Jordan?",dolly,closed_qa
5031,Is three body problem solved?,dolly,classification
5032,What sound was 'This Mortal Coil' known for?,dolly,closed_qa
5033,Name some of the top soccer players,dolly,open_qa
5034,"Which of the following countries are in Europe, and which are in the rest of the world: Nicaragua, Australia, Austria, New Zealand, Marocco, Spain, Greece, China, Chile?",dolly,classification
5035,What are some good techniques for cooking a steak?,dolly,general_qa
5036,Explain why Key West is a great location for a vacation.,dolly,creative_writing
5037,"Provide a short, bulleted summary of what historians consider the cause of the War of 1812",dolly,summarization
5038,"Which Roman general was conspired against and assassinated that is quoted ""Et tu, Brute?""?",dolly,open_qa
5039,What is the difference between basketball and netball?,dolly,open_qa
5040,Are dogs carnivores or omnivores?,dolly,classification
5041,Which is a species of fish? Trout or Bear,dolly,classification
5042,How do I maintain friendships?,dolly,general_qa
5043,What is HTTP?,dolly,open_qa
5044,Why Santorini is Famous,dolly,brainstorming
5045,"Given this paragraph about Singapore, who was Singapore's first president?",dolly,closed_qa
5046,What is freedom?,dolly,general_qa
5047,How many provinces contain the word ‘Holland’?,dolly,open_qa
5048,"Tell me whether these states and provinces are in Canada or USA: Alabama, Ontario, British Columbia, South Dakota, Quebec, Minnesota, Wisconsin",dolly,classification
5049,What are some ideas for a birthday celebration for a 4 year-old boy?,dolly,brainstorming
5050,"Given the reference text about Mother Teresa's international charity, how many languages did Mother Teresa speak?",dolly,closed_qa
5051,Write some important points regarding Family Justice Council using given text as a reference,dolly,summarization
5052,What's the hardest mineral?,dolly,open_qa
5053,"Based on the reference text, what colors do the Tampa Bay Rowdies wear and what stadium do they play in?",dolly,closed_qa
5054,Which brands does Geely own?,dolly,information_extraction
5055,Who is the best tennis player of all time?,dolly,general_qa
5056,Who is better : Superman or Batman?,dolly,open_qa
5057,Name some famous basketball players from the 1960's and 1970's,dolly,open_qa
5058,"Classify each of the following countries as Middle Eastern or Central American: Afghanistan, Iraq, Syria, Nicaragua, Honduras, El Salvador",dolly,classification
5059,Is the capital city and the largest city of Chile same or different?,dolly,closed_qa
5060,Extract when were the universities of Palencia and Salamanca established,dolly,information_extraction
5061,"Help me with spend a day in New Delhi. I like architecture, culture, and am a foodie",dolly,brainstorming
5062,Can cars have odd number of wheels?,dolly,brainstorming
5063,"Given a reference text about Elk Grove, what state is it located in and about how many people live there?",dolly,closed_qa
5064,"What professional baseball team is based out of Seattle, WA.",dolly,open_qa
5065,"Write a short story about a young aboriginal man seeking guidance on his place in the world.  Have him consult a wise elder, who will share wisdom and perspective.",dolly,creative_writing
5066,What is a bicameral legislature?,dolly,open_qa
5067,Why is the sky blue?,dolly,general_qa
5068,How will Artificial Intelligence change the education industry in the future?,dolly,general_qa
5069,Write a short story about a person who discovers a hidden room in the library. The story should include a plot twist and a clear resolution at the end.,dolly,creative_writing
5070,Why is Santa Fe New Mexico such a great place to live?,dolly,creative_writing
5071,What kind of merchant ships would be useful in a modern naval conflict?,dolly,classification
5072,Which classical composer wrote the Hungarian Rhapsody,dolly,open_qa
5073,"Classify each of the following people as an actor or athlete: Adam Sandler, Harry Kane, Hugo Lloris, Mike Myers, Tyreek Hill, Ryan Gosling, Joel Embiid",dolly,classification
5074,What is the most popular sport?,dolly,open_qa
5075,Are red roses typically considered an appropriate romantic gift?,dolly,open_qa
5076,From the passage mention the awards received by Sunil Manohar Gavaskar. Display the results in comma separated format.,dolly,information_extraction
5077,Who are some of the best basketball players of all time?,dolly,open_qa
5078,Who was the first president of the United States of America?,dolly,open_qa
5079,What kind of magazine was Nova,dolly,summarization
5080,How did the Royal Navy Protect the British Task Force from Argentine air attacks during the Falklands War?,dolly,general_qa
5081,Can kitesurfers sail up against the wind?,dolly,open_qa
5082,How many titles have Liverpool won?,dolly,closed_qa
5083,What us foosball?,dolly,open_qa
5084,Is the person who invented bitcoin Japanese?,dolly,closed_qa
5085,Name some of the bravolebrities from Married to Medicine,dolly,open_qa
5086,"When you get a new dog, how to prepare the living space?",dolly,general_qa
5087,How many runs did Sachin score in the 2011 world cup?,dolly,information_extraction
5088,What is the name of William Gibson's first comic book series?,dolly,closed_qa
5089,What is a flat earther and is it possible for the world to be flat?,dolly,open_qa
5090,What are all the different names for COVID-19 and which one is the most recommended?,dolly,closed_qa
5091,What wine varietal is the most popular produced in Oregon?,dolly,open_qa
5092,Which is a species of fish? Sardine or Sardinia,dolly,classification
5093,"Given the passage about churches built in the village of Zijldijk in the Netherlands, when was the only running church built?",dolly,closed_qa
5094,How do I get better at bouldering?,dolly,general_qa
5095,Write a rant about people that pour milk before cereal.,dolly,creative_writing
5096,Where is the Black See?,dolly,closed_qa
5097,How does a pine cone work?,dolly,summarization
5098,7 factors led to nokia failure,dolly,brainstorming
5099,"Which of these sentences is correct: ""If I was you, I would do it"" or ""If I were you, I would do it""?",dolly,open_qa
5100,Why do toddlers wake up so early?,dolly,general_qa
5101,Tell me a joke,dolly,general_qa
5102,"Classify each of these car manufacturers as either French, German, American, Japanese, or other: Audi, Peugeot, Aston Martin, Ssangyong, Chevrolet, BMW",dolly,classification
5103,is daylight saving necessary at all?,dolly,brainstorming
5104,What is Pickleball?,dolly,open_qa
5105,What are the words of House Penrose?,dolly,open_qa
5106,Give me a list of top five budget Android phone,dolly,brainstorming
5107,Is the Jakobshorn in Davos worth a trip,dolly,summarization
5108,Who are the main cast of It's Always Sunny in Philadelphia?,dolly,brainstorming
5109,List three US states whose name begins with C. Then tell me the capital of the first one.,dolly,general_qa
5110,"What is ""Disko""?",dolly,summarization
5111,"In the series A Song of Ice and Fire, who is the founder of House Foote?",dolly,open_qa
5112,From which countries is  the aurora australis visible?,dolly,information_extraction
5113,What is a narcissist?,dolly,general_qa
5114,Give me a list of different cat species that are good for people with allergies.,dolly,brainstorming
5115,What is the best programming language?,dolly,open_qa
5116,Which institute is known as International money laundering watch dog?,dolly,open_qa
5117,"What type of bike is suitable for children to learn: Balance Bike, Foldable bike, Mountain Bike, Road Bike",dolly,classification
5118,"Tell me whether these foods are high or low in carbs: rice, spaghetti, chicken, pork, quinoa, salami",dolly,classification
5119,What human foods are toxic to dogs?,dolly,information_extraction
5120,What is the difference between tennis shoes and sandals?,dolly,open_qa
5121,"Tell me which of these things are used as rock climbing gear: lamps, guardrails, ropes, power cords, nuts, anchors, puppies, cams, belay devices.",dolly,classification
5122,What was the first country to guarantee freedom of worship,dolly,open_qa
5123,Is the language spoken in Kerala a palindrome?,dolly,closed_qa
5124,What is a pot hole?,dolly,open_qa
5125,What's your favorite stars in the sky?,dolly,brainstorming
5126,How do I decline an invitation to my Aunt's Birthday party?,dolly,creative_writing
5127,"Given this paragraph about rivers in Europe, tell me what are the two longest rivers in Europe.",dolly,closed_qa
5128,Tell me about a Disk Manager,dolly,summarization
5129,"Which of these wind instruments are classified as Woodwind, and which are Brass: Clarinet, French Horn, Trombone, Bassoon, Sousaphone, Saxophone, Trumpet, and Flute.",dolly,classification
5130,"Given this paragraph about muscle strains and that my symptoms include severe and acute pain with movement limitations, how bad is my strain?",dolly,closed_qa
5131,"Q: Does spraying people with disinfectant, or having people go through disinfectant tunnels, walkways, or chambers, lower the spread of COVID-19?",dolly,general_qa
5132,Is Hainanese chicken rice a national dish of Singapore or Malaysia?,dolly,closed_qa
